#Pose estimation of object wrt camera. X forward, Y left, Z up
#time in seconds since epoch,position(x), position(y), position(z), q_x, q_y, q_z, q_w 

1407270143.4543914795,0.00108306,0.00798799,0.365943,0.0299959,-0.0601531,-0.997685,0.0103123
1407270143.4869239330,0.00125817,0.00765897,0.366088,0.0290852,-0.0583267,-0.99782,0.0103137
1407270143.5362279415,0.00130892,0.00754667,0.366203,0.0287816,-0.0577179,-0.997865,0.0103141
1407270143.5748708248,0.00140468,0.00737885,0.366217,0.0283262,-0.0568046,-0.99793,0.0103148
1407270143.6139159203,0.00133937,0.00749945,0.366227,0.0286298,-0.0574135,-0.997887,0.0103144
1407270143.6645030975,0.00120839,0.00772444,0.366201,0.029237,-0.0586311,-0.997798,0.0103135
1407270143.7148466110,0.00114359,0.00784233,0.366153,0.0295608,-0.0592299,-0.997757,0.00997287
1407270143.7674355507,0.00123712,0.00765921,0.366135,0.0291647,-0.058287,-0.99782,0.0103137
1407270143.8063783646,0.00130884,0.00751445,0.366212,0.0287841,-0.0575265,-0.997876,0.0103143
1407270143.8318648338,0.0012677,0.00760331,0.366184,0.0290125,-0.0579828,-0.997843,0.0103139
1407270143.8603394032,0.00117284,0.00777581,0.366166,0.0294691,-0.0588954,-0.997776,0.0103132
1407270143.8970351219,0.00133525,0.00747936,0.366159,0.028708,-0.0573744,-0.997887,0.0103144
1407270143.9159655571,0.00128484,0.00757365,0.36619,0.0289364,-0.0578307,-0.997854,0.010314
1407270143.9482889175,0.00101263,0.0080297,0.366118,0.0301745,-0.0602539,-0.997677,0.00997207
1407270144.0027089119,0.00111002,0.00786344,0.366108,0.0297379,-0.0593314,-0.997742,0.0103129
1407270144.0354709625,0.00111472,0.00785584,0.366102,0.0297581,-0.0593213,-0.997742,0.0103129
1407270144.0819275379,0.00130275,0.00752578,0.366185,0.028843,-0.057497,-0.997876,0.0103143
1407270144.1216049194,0.00139135,0.00736002,0.366293,0.0283854,-0.0565848,-0.997941,0.0103149
1407270144.1594192982,0.00125436,0.00758678,0.366301,0.0289955,-0.0578011,-0.997854,0.010314
1407270144.2054281235,0.00118726,0.00770036,0.366235,0.0293005,-0.0584092,-0.997809,0.0103136
1407270144.2294354439,0.00119559,0.00768989,0.366275,0.0293105,-0.0584042,-0.997811,0.0101435
1407270144.2679891586,0.000988454,0.00806824,0.366204,0.0302259,-0.0602282,-0.997675,0.0101421
1407270144.3340725899,0.00116386,0.00776537,0.366148,0.0294631,-0.0587082,-0.997789,0.0101433
1407270144.3823843002,0.0012265,0.00765314,0.36614,0.0291579,-0.0581002,-0.997833,0.0101437
1407270144.4269671440,0.00113603,0.00782737,0.366134,0.0296156,-0.0590122,-0.997766,0.010143
1407270144.4681861401,0.00132812,0.00747119,0.366234,0.0287002,-0.0571881,-0.997899,0.0101444
1407270144.5090160370,0.00123598,0.00765768,0.366235,0.0291579,-0.0581002,-0.997833,0.0101437
1407270144.5874972343,0.00121881,0.00768622,0.366181,0.0292342,-0.0582522,-0.997822,0.0101436
